sched,ocs,dp,reuse,wbd,bank,regb,ocu,rfc,case_label,op,stage,stall,remain
gto,1,4,0,1,2,8,8,1,nw,INTP_OP,OPERAND_COLLECTOR,0,35274
gto,1,4,0,1,2,8,8,1,nw,INTP_OP,EXECUTION_PIPELINE,0,60512
gto,1,4,0,1,2,8,8,1,nw,INTP_OP,WRITEBACK,0,15128
gto,1,4,0,1,2,8,8,1,nw,LOAD_OP,SCHEDULER,13692,39792
gto,1,4,0,1,2,8,8,1,nw,LOAD_OP,OPERAND_COLLECTOR,3520,40768
gto,1,4,0,1,2,8,8,1,nw,LOAD_OP,EXECUTION_PIPELINE,0,2098190
gto,1,4,0,1,2,8,8,1,nw,LOAD_OP,WRITEBACK,0,0
gto,1,4,0,1,2,8,8,1,pathfinder,ALU_OP,SCHEDULER,4344,215630
gto,1,4,0,1,2,8,8,1,pathfinder,ALU_OP,OPERAND_COLLECTOR,0,7572
gto,1,4,0,1,2,8,8,1,pathfinder,ALU_OP,EXECUTION_PIPELINE,0,10400
gto,1,4,0,1,2,8,8,1,pathfinder,ALU_OP,WRITEBACK,0,2600
gto,1,4,0,1,2,8,8,1,pathfinder,INTP_OP,SCHEDULER,347517,379622
gto,1,4,0,1,2,8,8,1,pathfinder,INTP_OP,OPERAND_COLLECTOR,0,38253
gto,1,4,0,1,2,8,8,1,pathfinder,INTP_OP,EXECUTION_PIPELINE,0,44032
gto,1,4,0,1,2,8,8,1,pathfinder,INTP_OP,WRITEBACK,0,11008
gto,1,4,0,1,2,8,8,1,pathfinder,LOAD_OP,SCHEDULER,37099,53353
gto,1,4,0,1,2,8,8,1,pathfinder,LOAD_OP,OPERAND_COLLECTOR,1221,20534
gto,1,4,0,1,2,8,8,1,pathfinder,LOAD_OP,EXECUTION_PIPELINE,0,1843555
gto,1,4,0,1,2,8,8,1,pathfinder,LOAD_OP,WRITEBACK,0,0
gto,1,4,0,1,2,8,8,1,srad_v2,ALU_OP,SCHEDULER,497081,667530
gto,1,4,0,1,2,8,8,1,srad_v2,ALU_OP,OPERAND_COLLECTOR,0,146761
gto,1,4,0,1,2,8,8,1,srad_v2,ALU_OP,EXECUTION_PIPELINE,0,87040
gto,1,4,0,1,2,8,8,1,srad_v2,ALU_OP,WRITEBACK,47,21807
gto,1,4,0,1,2,8,8,1,srad_v2,DP_OP,SCHEDULER,824703,1248349
gto,1,4,0,1,2,8,8,1,srad_v2,DP_OP,OPERAND_COLLECTOR,160214,244420
gto,1,4,0,1,2,8,8,1,srad_v2,DP_OP,EXECUTION_PIPELINE,0,1219386
gto,1,4,0,1,2,8,8,1,srad_v2,DP_OP,WRITEBACK,0,11264
gto,1,4,0,1,2,8,8,1,srad_v2,INTP_OP,SCHEDULER,288084,1215381
gto,1,4,0,1,2,8,8,1,srad_v2,INTP_OP,OPERAND_COLLECTOR,0,281439
gto,1,4,0,1,2,8,8,1,srad_v2,INTP_OP,EXECUTION_PIPELINE,0,332288
gto,1,4,0,1,2,8,8,1,srad_v2,INTP_OP,WRITEBACK,112,83184
gto,1,4,0,1,2,8,8,1,srad_v2,LOAD_OP,SCHEDULER,267180,665067
gto,1,4,0,1,2,8,8,1,srad_v2,LOAD_OP,OPERAND_COLLECTOR,80051,308327
gto,1,4,0,1,2,8,8,1,srad_v2,LOAD_OP,EXECUTION_PIPELINE,0,14105452
gto,1,4,0,1,2,8,8,1,srad_v2,LOAD_OP,WRITEBACK,0,0
gto,1,4,0,1,2,8,8,1,srad_v2,SFU_OP,SCHEDULER,20615,31052
gto,1,4,0,1,2,8,8,1,srad_v2,SFU_OP,OPERAND_COLLECTOR,3,24826
gto,1,4,0,1,2,8,8,1,srad_v2,SFU_OP,EXECUTION_PIPELINE,0,118294
gto,1,4,0,1,2,8,8,1,srad_v2,SFU_OP,WRITEBACK,15,5135
gto,1,4,0,1,2,8,8,1,srad_v2,SP_OP,SCHEDULER,683930,1047126
